datetime,city,state,country,shape,durationMinutes,comments,,
1/1/2010,benton,ar,us,circle,5 mins.,4 bright green circles high in the sky going in circles then one bright green light at my front door.,,
1/1/2010,bonita,ca,us,light,13 minutes,Three bright red lights witnessed floating stationary over San Diego New Years Day 2010,,
1/1/2010,el cajon,ca,us,triangle,6 minutes,On New Years Eve I went outside to hear the celebration and fireworks in my neighbor hood. And noticed 3 red lights above my house and,,
1/1/2010,el cajon,ca,us,triangle,12 minutes,3 Red objects hovering over El Cajon CA,,
1/1/2010,fresno,ca,us,light,1 min,Fresno cal. bright light hovers over head then vanished,,
1/1/2010,grants pass,or,us,triangle,a few mintues,Triangle shaped craft with three red lights at points hovering over Grants Pass&#44 Oregon.,,
1/1/2010,la mesa,ca,us,light,10 min,Three red lights over southern California that made a triangle shape,,
1/1/2010,lemon grove,ca,us,light,about 15 minutes,3 Red lights in line pattern above El Cajon/ East County.,,
1/1/2010,maricopa,az,us,unknown,3 minutes,One huge UFO or three seperate ones,,
1/1/2010,park city,ky,us,light,2-3 seconds,Lights orbiting the moon,,
1/1/2010,st. louis,mo,us,fireball,1 min,7 floating orbs or fireballs moving from southwest to northeast direction.,,
1/1/2010,el cajon,ca,us,formation,15 min.,Three red lights over the San Diego area - IT&#39S A HOAX YET AGAIN&#33&#33,,
1/1/2010,spring valley,ca,us,light,10:00,Three bright red lights in a straight line formation,,
1/1/2010,willow,ak,us,formation,7 min,four orange red objects suddenly appear 12:01 am new years move north then south and dissapear,,
1/1/2010,antioch,ca,us,other,30 minuets,Objects in sky over Antioch California 12:03AM January 1&#44  2010,,
1/1/2010,el cajon,ca,us,light,10min,3 red lights in sky new years 2010,,
1/1/2010,naples,fl,us,sphere,2 min,i&#39m in naples park. last night&#44 my husband and I were sitting outside --neighbors lighting off fireworks&#44 etc. We&#39re under a lanai and,,
1/1/2010,la mesa,ca,us,triangle,4-6 minutes,3 bright red lights hovering high in the sky in an elongated triangle pattern just after midnight 2010 in La Mesa&#44 Ca,,
1/1/2010,anchorage,ak,us,light,one minute,Upper atmosphere object moving south&#44 becoming stationary and later moving east at a high rate of speed.,,
1/1/2010,national city,ca,us,formation,25 mintutes,3 red lights over the mountains in Eastern San Diego,,
1/1/2010,boca raton,fl,us,fireball,4 minutes,Slow moving fireball northbound at hight altitude Southern Florida,,
1/1/2010,falcon,co,us,disk,8 mins,We experienced red disk over the falcon&#44 colorado sky within the first minutes of the new year.,,
1/1/2010,crestview,fl,us,unknown,2 minutes,Orange/Yellow flickering light in the sky with no sound and abrupt changes in direction&#44 below 12&#44000 feet.,,
1/1/2010,aspen,co,us,chevron,2 mins,New Years Eve Anomoly In Aspen Colorado,,
1/1/2010,walworth,wi,us,sphere,5-7 minutes,Large red/orange orb traveling southeast between Milwaukee and Chicago.,,
1/1/2010,baker,fl,us,unknown,15,Six flickering orange lights over baker,,
1/1/2010,san diego,ca,us,sphere,20 minutes,Orange spheres in sky New Year&#39s Eve&#44 San Diego&#44 CA,,
1/1/2010,willow,ak,us,sphere,10-11 min,4 redishorange shpereiodical objects appear during 2010 fireworks show hover around then disappear  500 Lights On Object0: Yes,,
1/1/2010,san diego,ca,us,triangle,3 minutes,It happen nEw years eve 2010,,
1/1/2010,haverhill,ma,us,triangle,30 seconds,Haverhill Massachusetts triangle object sighting,,
1/1/2010,pasadena,ca,us,triangle,1 minute,Walking on Cordova westbound just before the Hilton.  Sun was setting so looked up to see if we could see any satellite reflection.  Sa,,
1/1/2010,albuquerque,nm,us,light,half an hour,My wife and I were outside in the Jacuzzi when she first saw a light.  It glowed and traveled from north to south.  It lit up again whe,,
1/1/2010,jasper,fl,us,sphere,1 min,Bright light sets in the eastren sky.,,
1/1/2010,bakersfield,ca,us,light,1 minute,Two Crafts dancing in the sky&#33,,
1/2/2010,orange,ca,us,light,5-6 minutes,Point of light in daytime sky over Orange&#44 CA,,
1/2/2010,phoenix,az,us,rectangle,10 seconds,A bright light in Phoenix hovered above houses in broad daylight&#44 then vanished,,
1/2/2010,sacramento,ca,us,triangle,4min,Triangle shaped object spotted over Sacramento River.,,
1/2/2010,middleburg,fl,us,sphere,10 minutes,I was on my way out the door of my house &#44 when i stepped into the drive way of my house i noticed a redish/orange moon it was straight,,
1/2/2010,waxhaw,nc,us,sphere,1 minute,red glow/flame over waxhaw&#44 nc,,
1/2/2010,madison,al,us,triangle,2 minutes,Triangle shaped craft with orange-yellow lights that hovered very low near Redstone Arsenal in Madison&#44 Al,,
1/2/2010,loveland,co,us,cross,5 minutes,extremely bright light over tree in loveland&#44 CO,,
1/2/2010,atlanta,ga,us,fireball,3 seconds,glowing red spaceship flys at car,,
1/3/2010,mason,oh,us,circle,20 mins,didnt move like a plane or helicopter&#44 too close to be a star.,,
1/4/2010,glen spey,ny,us,flash,35 mins,colorful flashing craft hovers for 30mins &amp;  then flashes violet&#44 followed by dashing to the right &amp; disappearing,,
1/4/2010,reedville,va,us,changing,abt 1 hour,Spherical flashing lights&#44 hovering in the northwestern sky&#44 no sound.  ((NUFORC Note:  Possible sighting of celestial body??  PD)),,
1/4/2010,cleveland,oh,us,triangle,downtown,is it a ufo,,
1/4/2010,whittier,ca,us,light,3 seconds,Thick bright light travels across southern California then disappears?,,
1/4/2010,ben wheeler,tx,us,light,2-3 minutes,Very bright light&#44 flying lower than a jet; appeared to be tracking another light.  ((NUFORC Note:  Satellites??  PD)),,
1/4/2010,san pablo,ca,us,unknown,4 hours,Extremely high&#44 hovering object blinking various colors with red light on top seen from San Pablo.  ((NUFORC Note:  Sirius??  PD)),,
1/4/2010,cedar rapids,ia,us,light,15 min,Two very bright white lights come close together in the northwest sky and one dissapears...,,
1/4/2010,el cajon,ca,us,light,noticed from dusk to dawn,&quot;Fake stars&quot; over San Diego&#44 CA,,
1/5/2010,princeton,in,us,disk,15 seconds,Flying Saucer hovering above ground.,,
1/5/2010,chula vista,ca,us,oval,10 seconds,One Oval Spining above Chula Vista,,
1/5/2010,colonia,nj,us,unknown,15 min,loud aircraft that could be heard for up to 15 minutes at its lowest rummble.,,
1/5/2010,clinton,nj,us,cigar,3 weeks,Traveling to Pennylvania.,,
1/5/2010,new paltz,ny,us,triangle,45 seconds,Black Triangular Aircraft w/ Three White Lights Flying Low in New Paltz&#44 NY,,
1/5/2010,rockwell,nc,us,cigar,40 seconds,Brilliant silver/white silent object flew into sight&#44 slowed&#44 paused then faded from sight.,,
1/5/2010,anderson,sc,us,light,seven minutes,Orange light that set down in woods&#44 got brighter&#44 then left,,
1/6/2010,san diego,ca,us,light,20 minutes,Unusual silent&#44 orange glowing light stopping changing direction and discharging sudstance.,,
